"Page","Line","ImageSrc","Alt","Status"
"about.html","35","assets/images/Scorp-Logo.png","Scorptech","ok"
"about.html","128","assets/images/scorp-sapphire-cropped.png","Sapphire","ok"
"about.html","152","assets/images/about-hero.png","About Scorptech","ok"
"about.html","233","assets/images/startup_india_bg.jpg","Startup India Recognition","ok"
"about.html","238","assets/images/start-up-india-logo.png","Startup India Logo","ok"
"about.html","250","assets/images/istart_rajasthan_bg.png","iStart Rajasthan Recognition","ok"
"about.html","255","assets/images/istart_logo.png","iStart Logo","ok"
"about.html","414","assets/images/founder.jpg","Naivedya Jain","ok"
"about.html","515","assets/images_blog/what_is_EAM_hero.png","EAM Fundamentals","ok"
"about.html","536","assets/images_industries/Corporate_Offices.jpeg","Sapphire Modules","ok"
"about.html","557","assets/images_industries/automotive_service_station.jpeg","EAM Industries","ok"
"about.html","578","assets/images_industries/warehouse.jpeg","Asset Analytics","ok"
"about.html","599","assets/images_industries/hospital.jpeg","Business Value","ok"
"about.html","641","assets/images_industries/manufacturing_factory.jpeg","What Is Enterprise Asset Management? A Complete Guide","ok"
"about.html","647","assets/images_industries/automotive_service_station.jpeg","EAM vs ERP: The Key Difference Explained","ok"
"about.html","653","assets/images_industries/construction.jpeg","Asset Lifecycle Management: From Acquisition to Disposal","ok"
"about.html","659","assets/images_industries/warehouse.jpeg","Preventive vs Predictive Maintenance: Which Is Right?","ok"
"about.html","665","assets/images_industries/hospital.jpeg","Building a Maintenance Strategy from Zero","ok"
"about.html","671","assets/images_industries/diagnostic_center.jpeg","The True Cost of Asset Downtime","ok"
"about.html","677","assets/images_industries/research_test_laoratories.jpeg","ISO 55000: The Global Standard for Asset Management","ok"
"about.html","683","assets/images_industries/Corporate_Offices.jpeg","Sapphire Work Order Management: A Complete Deep Dive","ok"
"about.html","689","assets/images_industries/coworkingITpark.png","Inventory Control in Sapphire: Zero Dead Stock","ok"
"about.html","695","assets/images_industries/Retail_Chains_&_Shopping_malls.jpeg","Sapphire Purchase Module: From PO to Payment","ok"
"about.html","701","assets/images_industries/Real_Estate_Developors.jpeg","Asset Tracking with Sapphire: Real-Time Visibility","ok"
"about.html","707","assets/images_industries/schools_universites.jpeg","Sapphire Dashboard Intelligence: Metrics That Matter","ok"
"about.html","713","assets/images_industries/Hotels_Guest_Houses.jpeg","Preventive Maintenance Scheduling in Sapphire EAM","ok"
"about.html","719","assets/images_industries/co-working_&_IT_Park_2.jpeg","Document Management Inside Sapphire EAM","ok"
"about.html","725","assets/images_industries/Fitness_Centers_&_Gym.jpeg","EAM for Manufacturing: Keep the Line Running","ok"
"about.html","731","assets/images_industries/muncipal_departments.png","Facility Management with Sapphire","ok"
"about.html","737","assets/images_industries/hospital.jpeg","Healthcare Asset Management: Compliance Meets Efficiency","ok"
"about.html","743","assets/images_industries/power_generation_unit.png","Power & Utilities: EAM at Enterprise Scale","ok"
"about.html","749","assets/images_industries/Transmission_Network.png","Oil & Gas Maintenance Operations and EAM","ok"
"about.html","755","assets/images_industries/audit_desk.jpeg","EAM for Real Estate Portfolios","ok"
"about.html","761","assets/images_industries/Airport_Hangars.jpeg","Airport Asset Management: Zero Tolerance for Failure","ok"
"about.html","770","assets/images_industries/state-workshops.png","Real-Time Asset Analytics: From Data to Decision","ok"
"about.html","776","assets/images_industries/Farm_Equipment_Warehouse.png","Predictive Maintenance Analytics with Sapphire Smart","ok"
"about.html","782","assets/images_industries/Cargo_Terminals.jpeg","OEE Tracking: Beyond the Dashboard Number","ok"
"about.html","788","assets/images_industries/Concert_Hall.jpeg","KPI Design for EAM Programs","ok"
"about.html","794","assets/images_industries/Logistics_&_Fleet_Operations.png","MTBF: Calculating and Reducing Mean Time Between Failure","ok"
"about.html","800","assets/images_industries/Water_Supply_Infrastructure.png","Maintenance Cost Benchmarking: Industry Standards","ok"
"about.html","806","assets/images_industries/Agro_Processing_Unit.jpeg","Asset Health Scoring: A New Framework","ok"
"about.html","812","assets/images_industries/Amusement_Parks.jpeg","ROI of EAM Software: A Practical Calculation Guide","ok"
"about.html","818","assets/images_industries/Movie_Theaters.jpeg","The Hidden Cost of Spreadsheet-Based Maintenance","ok"
"about.html","824","assets/images_industries/Training_&_Vocational_centers.jpeg","EAM Implementation: Why Most Fail and How Yours Won't","ok"
"about.html","830","assets/images_industries/Clubs_&_Leisure_Facilities.jpeg","Justifying EAM Investment to the C-Suite","ok"
"about.html","836","assets/images_industries/Rail Maintenance Units.png","From Reactive to Proactive: The Maintenance Maturity Model","ok"
"about.html","842","assets/images_industries/Fertilizer_&_Irrigation_depots.png","EAM and ESG: Sustainability Through Asset Intelligence","ok"
"about.html","848","assets/images_industries/Disaster_Response_Storage.png","How to Choose Your EAM Vendor: A Buyer's Guide","ok"
"about.html","854","assets/images_industries/Shipping_Ports_&_Dock.jpeg","Sapphire 2025: What's New and What's Next","ok"
